S,Fe,Zr,sevenhundred
0.3238,0.1098,0.0019,32.20841217
0.3241,0.0941,0.0018,27.61468506
0.3499,0.168,0.0023,63.33608627
0.5993,0.134,0.0011,41.37998962
0.329,0.096,0.002,26.69008636
0.4831,0.1088,0.0017,32.88975525
0.3408,0.0889,0.0019,26.58488846
0.4361,0.0903,0.0016,12.39645958
0.499,0.0875,0.001,41.54289246
0.3795,0.3924,0.0022,46.01033783
0.3546,0.1315,0.0018,63.05134964
0.9079,1.4912,0.0081,15.37193394
0.5771,9.0937,0.0144,19.86558533
0.3248,0.1729,0.0023,62.51918793
0.3248,0.1729,0.0023,62.51918793
0.4441,0.4105,0.003,33.71397018
0.4141,0.4766,0.0025,15.89643097
0.46,0.9619,0.0027,15.66329575
0.3574,0.1612,0.0026,59.99755859
0.3361,0.0916,0.0021,44.98246765
0.3645,0.1778,0.0018,58.45599747
0.3626,0.2141,0.0023,41.26315308
0.3626,0.2141,0.0023,41.26315308
0.6517,15.5201,0.0053,21.26587105
0.3763,0.2505,0.0023,51.63182449
0.3344,0.1025,0.0018,30.55175209
0.3344,0.1025,0.0018,30.55175209
0.4774,0.5106,0.0027,31.70771027
0.4774,0.5106,0.0027,31.70771027
0.3442,0.1652,0.0017,47.27975845
0.3522,0.2258,0.0019,20.14407349
0.4268,0.3147,0.0022,12.95982742
0.3182,0.0899,0.0021,20.34897995
0.3636,0.0877,0.0018,24.02915001
0.3214,0.1017,0.0022,27.91436577
0.3114,0.0954,0.0024,20.76783562
0.3923,0.1143,0.0021,24.45119095
0.372,0.2046,0.0022,17.93169022
0.4356,0.1065,0.0021,23.0602169
0.3266,0.1072,0.0022,27.60297585
0.3266,0.1072,0.0022,27.07489395
0.3463,0.1171,0.0024,22.14463043
0.3142,0.096,0.0023,25.71257019
0.3778,0.1364,0.0019,20.07792473
0.394,0.1782,0.0022,16.75988579
0.3575,0.1039,0.0021,18.42746353
0.3386,0.1043,0.0026,25.96639633
0.3787,0.1168,0.0019,23.72826576
0.3427,0.1115,0.0024,26.36530113
0.4258,0.1447,0.0019,20.44203949
0.3976,0.1429,0.0019,11.75425529
0.4443,0.1393,0.0014,16.50735664
0.3992,0.1394,0.0019,13.32681751
0.3656,0.1206,0.0018,20.14634705
0.3271,0.1131,0.0025,14.4051981
0.3839,0.1203,0.0018,14.13537598
0.38,0.1692,0.0027,14.66251755
0.4852,0.1582,0.002,11.28875923
0.4495,0.164,0.0017,10.90554047
0.4264,0.3011,0.0032,16.73364067
0.6411,0.2971,0.0013,9.820743561
0.3711,0.1745,0.0025,19.32334328
0.4583,0.2084,0.0023,28.07630348
0.3743,0.2086,0.0027,19.85802078
0.4179,0.3083,0.0023,16.6084919
0.4455,0.317,0.0032,19.31035042
0.349,0.1892,0.0029,19.90902519
0.4039,0.0936,0.0014,34.78552628
0.3541,0.108,0.0017,28.08787918
0.3386,0.0984,0.0024,37.94342422
0.3809,0.0925,0.0019,24.36621094
0.4123,0.1872,0.002,15.87657928
0.5547,0.3037,0.004,17.88195038
0.4158,0.4251,0.0043,11.30799389
0.629,0.4972,0.0161,22.34493446
0.398,0.4365,0.0024,15.43898582
0.6039,0.8225,0.0036,10.04207134
0.5927,1.038,0.0045,16.3038063
0.5777,1.1434,0.005,16.3038063
0.4916,0.5115,0.0035,15.10758114
0.3432,1.1098,0.0027,10.09007359
0.4041,0.994,0.0038,16.9016304
0.4392,0.7894,0.0038,16.54737473
0.6371,1.0766,0.0035,35.62731934
0.386,0.221,0.0027,69.31780243
0.386,0.221,0.0027,69.31780243
0.3755,0.2026,0.0021,69.31780243
0.3748,0.078,0.004,79.87469482
0.3748,0.078,0.004,79.87469482
0.3834,0.6215,0.0036,53.34230804
0.6074,0.6235,0.0078,73.10468292
0.3492,0.2064,0.0028,40.20746231
0.3492,0.2064,0.0028,40.20746231
0.3525,0.1991,0.0028,67.41130066
0.3429,0.1687,0.002,65.83599854
0.5203,0.4588,0.0027,67.95298767
0.6695,2.1195,0.0034,12.14521885
0.4714,0.4989,0.004,25.99773026
1.5954,2.7067,0.0079,10.88934803
0.4467,0.4918,0.0038,17.79467773
0.5762,1.6297,0.0057,23.66940498
0.5225,0.4159,0.002,31.47520638
0.3756,0.1518,0.0023,45.12477493
0.3562,3.4957,0.0051,21.58527756
0.4958,0.4811,0.0044,19.54238129
0.4958,0.4811,0.0044,19.54238129
0.5354,2.6501,0.0044,13.35679626
0.6581,1.1357,0.0057,23.32408142
0.624,1.724,0.0051,18.47253609
0.624,1.724,0.0051,18.47253609
0.4424,0.8831,0.0024,12.67433739
0.6393,1.1141,0.0059,12.67433739
0.622,1.0992,0.0055,12.67433739
0.5371,0.6681,0.0044,14.76213646
0.5371,0.6681,0.0044,14.76213646
0.3802,0.4992,0.0021,62.55841064
0.4598,1.6467,0.0044,19.41114044
0.4598,1.6467,0.0044,19.41114044
0.4418,0.5042,0.0023,55.43349457
0.5163,0.9973,0.0056,24.96059799
0.4786,1.2853,0.0045,26.73633194
0.4866,1.5004,0.0043,36.37374878
0.5226,1.7099,0.0047,22.15354919
0.3863,1.2524,0.0028,26.15091515
0.3794,0.346,0.0042,32.49249268
0.3277,0.6239,0.0025,14.63819695
0.3549,0.5279,0.0021,48.47468567
0.3644,0.4975,0.002,51.09261703
0.3644,0.4975,0.002,51.09261703
0.4868,1.509,0.0053,13.33890438
0.4868,1.509,0.0053,13.33890438
0.3624,0.4639,0.0024,13.76892662
0.549,1.0197,0.0054,15.57896996
0.549,1.0197,0.0054,15.57896996
0.3432,0.5337,0.0026,50.53440475
0.385,0.4526,0.0035,48.80540466
0.3477,0.1851,0.0018,53.13287354
0.4578,1.8787,0.004,25.47033119
0.3812,0.5714,0.0038,45.53611755
0.3431,0.1787,0.0026,47.35349655
0.4671,1.4856,0.0046,20.08856964
0.3538,0.1557,0.002,61.30007553
0.3477,0.3586,0.0023,50.90054321
0.3823,0.1984,0.0028,53.82646179
0.3667,0.2882,0.0028,45.95702744
0.4075,0.4767,0.003,62.32532883
0.4075,0.4767,0.003,62.32532883
0.5326,1.6852,0.0068,38.68603897
0.4219,3.4475,0.0028,13.4810791
0.4219,3.4475,0.0028,13.4810791
0.5349,1.2884,0.0056,22.48127556
0.4345,1.0175,0.0037,28.64620972
0.4799,1.1645,0.0042,28.64620972
0.4665,0.5889,0.0034,13.53015423
0.3648,0.2907,0.0023,60.83825302
0.3501,0.1997,0.0017,61.00494766
0.3501,0.1997,0.0017,61.00494766
0.3536,0.4468,0.003,63.77066422
0.4275,1.0851,0.0039,51.03714371
0.4201,0.4465,0.0021,62.55500793
0.3809,0.4915,0.0028,57.52232742
0.3746,0.5833,0.0027,57.52232742
0.3809,0.4915,0.0028,53.66008759
0.3746,0.5833,0.0027,53.66008759
0.5339,0.5024,0.0035,61.69837189
0.4399,0.4419,0.0039,39.04145432
0.4264,1.6,0.0033,13.38381195
0.6778,2.9568,0.0073,9.190752029
0.6778,2.9568,0.0073,9.190752029
0.4167,0.457,0.0027,31.24718285
0.3844,0.2135,0.0019,44.29466248
0.3423,0.1805,0.0025,43.33408737
0.3642,0.1863,0.0023,49.29121017
0.3835,0.2176,0.0024,47.31183624
0.4244,0.3229,0.0029,29.60540581
0.3597,0.2444,0.0014,45.29499817
0.3457,0.129,0.0018,63.08643723
0.3518,0.2389,0.0018,55.76995468
0.3872,0.2266,0.0026,13.83371353
0.4071,0.5167,0.0018,51.98727798
0.3625,0.1909,0.0018,54.11496735
0.4141,0.2211,0.0022,54.11496735
0.3504,0.2115,0.0025,54.17018127
0.3734,0.3207,0.0024,48.89252853
0.3117,0.1056,0.003,68.44876099
0.3654,0.1538,0.0019,66.2454071
0.3654,0.1538,0.0019,66.2454071
0.4328,0.3027,0.0028,53.17855453
0.425,0.2195,0.0024,56.43125916
0.4072,0.2785,0.0018,15.42333698
0.4072,0.2785,0.0018,15.42333698
0.3866,0.2537,0.0018,18.54547501
0.3866,0.2537,0.0018,18.54547501
0.4793,0.6887,0.0036,63.39610672
0.3348,0.129,0.0027,68.17718506
0.5186,0.8603,0.0055,20.92545319
0.3607,0.2772,0.0024,21.7367382
0.4224,0.2497,0.0018,26.13634682
0.4131,0.2076,0.0025,10.90120792
0.3744,0.2375,0.002,18.57727432
0.4634,1.9058,0.0036,35.00728989
0.3546,0.1285,0.0021,52.99683762
0.6426,0.4238,0.0009,37.26821518
0.3639,0.2112,0.0028,42.19645309
0.5187,1.3577,0.0035,10.31231308
0.3369,0.0916,0.0025,24.37753487
0.3369,0.0916,0.0025,24.37753487
0.3695,0.1992,0.0031,9.327973366
0.7174,0.6513,0.0083,9.327973366
0.3374,0.0836,0.0024,38.07817841
0.3374,0.0836,0.0024,38.07817841
0.4473,0.2358,0.0022,38.24275589
0.4473,0.2358,0.0022,38.24275589
0.3258,0.0798,0.0024,64.76662445
0.3258,0.0798,0.0024,64.76662445
0.4589,0.0867,0.002,78.2547226
0.4589,0.0867,0.002,78.2547226
0.6688,0.7728,0.008,19.80704498
0.4465,0.4026,0.0025,15.38943958
0.4697,0.5587,0.0027,17.92783737
0.4016,0.51,0.002,15.45951557
0.3848,0.5731,0.0026,19.7021122
0.6161,0.6947,0.0089,12.89852905
0.3748,0.4594,0.0024,14.55900192
0.3522,0.2577,0.0032,22.95319748
0.3835,0.2286,0.0027,25.3628006
0.3683,0.2225,0.0021,26.28355408
0.6149,1.301,0.0076,17.42068863
0.3893,0.4273,0.0018,21.45415306
0.3893,0.4273,0.0018,21.01387405
0.401,0.4904,0.0024,14.91826057
0.4015,0.389,0.0033,19.48467255
0.4246,1.0003,0.0033,21.27605057
0.5597,1.1146,0.0102,15.02148914
0.3913,0.7707,0.0021,20.42505455
0.432,0.7394,0.0041,17.53039742
0.4163,0.5428,0.0033,18.44208908
0.4981,0.632,0.0029,18.85762596
0.4071,0.5449,0.0039,20.26476288
0.5043,1.2014,0.0049,18.15016556
0.6827,0.9912,0.0056,21.74803734
0.5262,0.6574,0.004,14.56149197
0.5332,0.6882,0.0037,15.56012917
0.3814,0.2209,0.0023,19.06402779
0.3728,0.476,0.0022,40.82513428
0.3449,0.2229,0.0024,34.457798
0.3679,0.2233,0.0024,35.99457932
0.3332,0.1456,0.0025,41.25406265
0.3371,0.2199,0.0027,44.4141655
0.4203,0.1934,0.0033,37.57408142
0.3649,0.1559,0.0021,43.17433929
0.3708,0.2274,0.0033,42.84022903
0.3533,0.164,0.0021,40.11127472
0.3361,0.0933,0.0019,50.27541351
0.3535,0.1293,0.002,45.47766495
0.3535,0.1293,0.002,30.86466217
0.3832,0.2856,0.0029,34.32888794
0.3664,0.1305,0.0018,47.71857452
0.3566,0.1638,0.0025,37.05405426
0.333,0.0981,0.0022,34.85948944
0.3528,0.1585,0.0024,41.50537872
0.3536,0.1378,0.002,33.18427658
0.3426,0.1192,0.0022,59.98390961
0.3295,0.1012,0.0019,56.23259735
0.4028,0.6058,0.0027,37.18104553
0.3605,0.2101,0.0023,30.01592445
0.3517,0.1393,0.0018,41.5012207
0.3402,0.1724,0.0026,20.85914993
0.3539,0.2255,0.0024,23.71431541
0.3439,0.1275,0.0017,60.35739136
0.3542,0.3547,0.0019,42.03615189
0.3911,0.4598,0.0024,35.12011337
0.453,1.8676,0.0026,22.77301025
0.5139,1.8293,0.0029,25.05034828
0.3785,1.0885,0.0023,16.88833618
0.3732,1.0739,0.0026,16.88833618
